TeamKey,RankingPoints,Wins,Losses,Ties,ClimbPoints,AutoPoints,OwnershipPoints,VaultPoints
frc3268,16.0,6.0,6.0,0.0,410.0,267.0,2251.0,235.0
frc4915,16.0,4.0,8.0,0.0,615.0,353.0,2176.0,300.0
frc5683,15.0,4.0,8.0,0.0,585.0,332.0,2183.0,335.0
frc492,15.0,5.0,7.0,0.0,555.0,293.0,2369.0,290.0
frc5941,15.0,5.0,7.0,0.0,495.0,287.0,1911.0,315.0
frc4205,14.0,4.0,8.0,0.0,485.0,276.0,1979.0,330.0
frc1258,14.0,5.0,7.0,0.0,465.0,241.0,1986.0,290.0
frc2980,13.0,5.0,7.0,0.0,470.0,272.0,2269.0,285.0
frc4180,13.0,5.0,7.0,0.0,485.0,298.0,2092.0,260.0
frc4681,12.0,3.0,8.0,1.0,575.0,264.0,2037.0,310.0
frc4683,12.0,3.0,9.0,0.0,555.0,290.0,2073.0,300.0
frc949,12.0,4.0,8.0,0.0,520.0,263.0,1752.0,220.0
frc4512,11.0,4.0,8.0,0.0,515.0,246.0,2035.0,350.0
frc7118,11.0,3.0,9.0,0.0,490.0,258.0,1701.0,340.0
frc4682,9.0,3.0,8.0,0.0,410.0,204.0,1547.0,215.0
frc4918,8.0,2.0,10.0,0.0,520.0,264.0,1597.0,375.0
frc2590,40.0,12.0,0.0,0.0,965.0,426.0,3329.0,360.0
frc694,29.0,11.0,1.0,0.0,610.0,376.0,3115.0,405.0
frc1796,27.0,9.0,3.0,0.0,665.0,426.0,3060.0,270.0
frc6880,26.0,9.0,3.0,0.0,525.0,266.0,2739.0,340.0
frc354,26.0,9.0,3.0,0.0,430.0,257.0,2182.0,285.0
frc4122,24.0,9.0,3.0,0.0,405.0,286.0,2570.0,345.0
frc7004,21.0,7.0,5.0,0.0,610.0,267.0,2120.0,420.0
frc2875,21.0,8.0,4.0,0.0,505.0,239.0,2472.0,365.0
frc395,21.0,7.0,5.0,0.0,415.0,280.0,2448.0,275.0
frc369,20.0,8.0,4.0,0.0,395.0,234.0,2535.0,315.0
frc6911,20.0,7.0,5.0,0.0,485.0,261.0,2200.0,265.0
frc229,19.0,7.0,5.0,0.0,580.0,208.0,2172.0,460.0
frc2601,19.0,6.0,6.0,0.0,505.0,266.0,2117.0,305.0
frc353,17.0,6.0,6.0,0.0,610.0,262.0,2135.0,315.0
frc4091,17.0,7.0,5.0,0.0,570.0,230.0,2102.0,305.0
frc3419,17.0,6.0,6.0,0.0,425.0,240.0,1969.0,340.0
frc2869,16.0,6.0,6.0,0.0,415.0,253.0,1844.0,255.0
frc2579,16.0,7.0,5.0,0.0,400.0,175.0,1734.0,210.0
frc7318,16.0,6.0,6.0,0.0,375.0,223.0,1882.0,260.0
frc6401,16.0,5.0,7.0,0.0,445.0,274.0,2030.0,350.0
frc5865,16.0,6.0,6.0,0.0,680.0,205.0,1920.0,325.0
frc4707,15.0,5.0,7.0,0.0,500.0,222.0,1717.0,245.0
frc5943,15.0,5.0,7.0,0.0,455.0,243.0,1985.0,285.0
frc6601,14.0,5.0,7.0,0.0,360.0,195.0,1577.0,225.0
frc3950,13.0,5.0,7.0,0.0,535.0,221.0,1846.0,315.0
frc2265,13.0,5.0,7.0,0.0,450.0,196.0,1725.0,250.0
frc5123,13.0,4.0,8.0,0.0,410.0,232.0,1679.0,285.0
frc7016,13.0,5.0,7.0,0.0,335.0,192.0,1835.0,235.0
frc3017,12.0,5.0,7.0,0.0,485.0,142.0,1752.0,285.0
frc5016,12.0,5.0,7.0,0.0,470.0,182.0,2082.0,305.0
frc4571,12.0,5.0,7.0,0.0,475.0,150.0,1398.0,275.0
frc6806,12.0,4.0,8.0,0.0,480.0,228.0,1821.0,290.0
frc5202,12.0,4.0,8.0,0.0,580.0,205.0,1721.0,415.0
frc1155,12.0,4.0,8.0,0.0,485.0,209.0,1883.0,350.0
frc6969,12.0,5.0,7.0,0.0,525.0,216.0,1914.0,345.0
frc1880,12.0,3.0,9.0,0.0,630.0,210.0,1140.0,305.0
frc329,11.0,5.0,7.0,0.0,575.0,167.0,1608.0,450.0
frc806,10.0,3.0,9.0,0.0,410.0,229.0,1639.0,285.0
frc6982,9.0,3.0,9.0,0.0,530.0,217.0,1685.0,280.0
