,Unnamed: 0,Unnamed: 0.1,key,nickname,rookie_year,state_prov,team_number,events,OPR,DPR,CCWM
148,148,255,frc314,The Megatron Oracles,1999.0,Michigan,314,"['2018micmp4', '2018mifor', '2018mike2', '2018miliv']",107.62394974152046,91.62710365648798,15.996846085032427
149,149,257,frc316,LUNATECS,1999.0,New Jersey,316,"['2018cmpmi', '2018mrcmp', '2018njtab', '2018paphi', '2018vahay']",148.36626203021433,56.7641237555248,91.60213827468958
150,150,259,frc319,Big Bad Bob,1999.0,New Hampshire,319,"['2018cmpmi', '2018marea', '2018necmp', '2018nhdur', '2018nyut', '2018week0']",44.36122549810775,110.76407274887279,-66.4028472507642
151,151,260,frc321,RoboLancers,1999.0,Pennsylvania,321,"['2018cmpmi', '2018mrcmp', '2018paphi', '2018pawch']",112.1612852184684,135.72778030074173,-23.56649508227331
152,152,261,frc322,Team F.I.R.E.,1999.0,Michigan,322,"['2018miket', '2018milsu']",24.283743909025723,152.3045068352763,-128.0207629262506
153,153,262,frc323,Lights Out,1996.0,Arkansas,323,"['2018arli', '2018wimi']",134.79412292418465,32.470859571806024,102.3232633523787
154,154,264,frc329,Mohawks,1999.0,New York,329,"['2018cmpmi', '2018nyli2', '2018nysu']",38.93369198670953,46.174487690330714,-7.240795703621174
155,155,265,frc330,The Beach Bots,1999.0,California,330,"['2018caav', '2018capo', '2018cmptx']",199.69839719151386,-4.517219258353299,204.21561644986716
156,156,267,frc333,MEGALODONS,1999.0,New York,333,"['2018cmpmi', '2018nyny', '2018nyrer', '2018nytr']",157.133671459291,35.75660513796811,121.37706632132281
157,157,268,frc334,TechKnights,1999.0,New York,334,"['2018nyli2', '2018nyny']",54.048452670285684,35.06921084100952,18.97924182927611
158,158,269,frc335,Skillz Tech Gear Botz,1999.0,New York,335,['2018nyny'],34.63785807699822,108.07770376981038,-73.43984569281237
159,159,270,frc337,Hard Working Hard Hats,2000.0,West Virginia,337,"['2018cmpmi', '2018ohmv', '2018paca']",71.87478759503482,72.56201075184227,-0.6872231568073559
160,160,272,frc339,Kilroy Robotics,2000.0,Virginia,339,"['2018chcmp', '2018mdedg', '2018vagle']",109.12008630854318,101.13221326379993,7.98787304474331
161,161,273,frc340,G.R.R. (Greater Rochester Robotics),2000.0,New York,340,"['2018cmpmi', '2018nyro', '2018nyut']",180.53713848108674,19.8764721237082,160.66066635737863
162,162,274,frc341,Miss Daisy,2000.0,Pennsylvania,341,"['2018cmptx', '2018ilch', '2018njski', '2018pawch']",144.64201117953814,78.48933657993234,66.15267459960582
163,163,275,frc342,Burning Magnetos,2000.0,South Carolina,342,"['2018alhu', '2018cmptx', '2018scmb']",150.29306827885645,70.03250242568329,80.26056585317315
164,164,276,frc343,Metal-In-Motion,2000.0,South Carolina,343,"['2018cmptx', '2018scmb', '2018tnkn']",100.87346675802573,31.52844557653338,69.3450211814923
165,165,278,frc346,RoboHawks,2000.0,Virginia,346,"['2018chcmp', '2018cmpmi', '2018vabla', '2018vagle']",131.8009012849585,73.76363159713019,58.03726968782837
166,166,279,frc348,Norwell Robotics,2000.0,Massachusetts,348,"['2018flwp', '2018mabri', '2018melew']",103.4187918053427,76.50670184647652,26.91208995886613
167,167,283,frc352,The Green Machine,2000.0,New York,352,['2018nyli'],50.45073670645744,181.4872988523946,-131.03656214593715
168,168,284,frc353,POBots,2000.0,New York,353,"['2018nyli2', '2018nysu']",58.89745940474503,48.25883317679497,10.638626227950068
169,169,285,frc354,G-House Pirates,2000.0,New York,354,"['2018nyny', '2018nysu']",142.90750821734298,73.32657502832518,69.58093318901777
170,170,288,frc358,Robotic Eagles,2000.0,New York,358,"['2018nyli', '2018nytr', '2018nyut']",118.13608951798248,89.36228515715993,28.773804360822584
171,171,289,frc359,Hawaiian Kids,2000.0,Hawaii,359,"['2018abca', '2018cmptx', '2018hiho', '2018qcmo']",191.84533070964775,73.22796005898547,118.61737065066222
172,172,290,frc360,The Revolution,2000.0,Washington,360,"['2018cmptx', '2018pncmp', '2018waamv', '2018wamou']",145.3913522937236,80.7261802739627,64.6651720197609
173,173,293,frc364,Team Fusion,2000.0,Mississippi,364,"['2018arli', '2018cmptx', '2018lake']",211.46251575344792,40.903664954637364,170.55885079881054
174,174,294,frc365,Miracle Workerz,2000.0,Delaware,365,"['2018cmpmi', '2018mrcmp', '2018njtab', '2018pawch']",177.64009014781473,55.4716778707122,122.16841227710246
175,175,296,frc368,Team Kika Mana,2000.0,Hawaii,368,"['2018cmptx', '2018hiho']",156.78234835614447,89.48857782615184,67.29377052999266
176,176,297,frc369,High Voltage Robotics,2000.0,New York,369,"['2018cmpmi', '2018nyli2', '2018nyny', '2018nysu']",84.08555321288553,52.06953853948361,32.01601467340188
